127.0.0.1 - - [13/Feb/2026:09:10:58 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:49 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:08:07 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:08:56 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:18 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:19 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:20 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:21 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:21 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:22 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:23 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:23 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:32 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:09:35 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:11:15 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:18:59 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:19:21 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:19:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:19:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:19:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:36 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:47 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:48 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:52 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:52 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:56 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:57 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:21:57 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:03 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:03 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:04 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:04 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:04 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:04 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:05 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:05 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:06 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:06 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:06 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:06 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:06 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:06 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:07 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:08 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:08 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:13 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:14 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:20 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:20 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:21 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:21 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:22 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:23 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:23 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:24 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:24 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:24 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:25 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:22:25 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:23:16 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:25:03 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:25:04 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:25:10 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:25:11 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:25:11 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:25:17 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:31:00 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:42:04 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:46:17 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:47:51 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:02 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:23 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:24 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:25 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:26 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:29 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:42 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:48:43 +0900] "GET /HtmlTest/naver.com HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:02:55 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:05:07 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:05:17 +0900] "GET /HtmlTest/naver.com HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:05:18 +0900] "GET /HtmlTest/ex09_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:05:29 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:06:42 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:06:43 +0900] "GET /HtmlTest/images/dog.jpg HTTP/1.1" 200 281152
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:08:00 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:08:01 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:09:21 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:09:23 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:09:24 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:09:24 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:09:25 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:10:07 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:10:09 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:10:11 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:10:12 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:10:12 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:10:12 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:12:23 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:12:24 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:12:25 +0900] "GET /HtmlTest/webapp.zip HTTP/1.1" 200 3795
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:14:36 +0900] "GET /HtmlTest/member.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:17:38 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:19:21 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:23:10 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 4884
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:26:42 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:27:24 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 4986
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:27:25 +0900] "GET /HtmlTest/a1 HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:27:34 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 200 4989
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:27:51 +0900] "GET /HtmlTest/ex10_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:34:32 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:35:08 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:38:19 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:38:25 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:39:17 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:44:44 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 1904
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:45:54 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [13/Feb/2026:11:46:58 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:06:01 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:06:12 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:07:28 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:08:04 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:10:45 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:11:26 +0900] "GET /HtmlTest/ex11_tag.html HTTP/1.1" 200 3508
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:26:14 +0900] "GET /HtmlTest/ex12_image.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:26:14 +0900] "GET /HtmlTest/images/dog01.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:26:35 +0900] "GET /HtmlTest/ex12_image.html HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:26:35 +0900] "GET /HtmlTest/images/dog02.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [13/Feb/2026:12:26:35 +0900] "GET /HtmlTest/images/dog01.jpg HTTP/1.1" 404 841
